ID,UsageLvl,SatisLvl,DelvySpeed,PriceLevel,PriceFlex,MfrImage,OverallService,SalesForceImg,ProdQlty
1,32,4.2,4.1,0.6,6.9,4.7,2.4,2.3,5.2
2,43,4.3,1.8,3,6.3,6.6,2.5,4,8.4
3,48,5.2,3.4,5.2,5.7,6,4.3,2.7,8.2
4,32,3.9,2.7,1,7.1,5.9,1.8,2.3,7.8
5,58,6.8,6,0.9,9.6,7.8,3.4,4.6,4.5
6,45,4.4,1.9,3.3,7.9,4.8,2.6,1.9,9.7
7,46,5.8,4.6,2.4,9.5,6.6,3.5,4.5,7.6
8,44,4.3,1.3,4.2,6.2,5.1,2.8,2.2,6.9
9,63,5.4,5.5,1.6,9.4,4.7,3.5,3,7.6
10,54,5.4,4,3.5,6.5,6,3.7,3.2,8.7
11,32,4.3,2.4,1.6,8.8,4.8,2,2.8,5.8
12,47,5,3.9,2.2,9.1,4.6,3,2.5,8.3
13,39,4.4,2.8,1.4,8.1,3.8,2.1,1.4,6.6
14,38,5,3.7,1.5,8.6,5.7,2.7,3.7,6.7
15,54,5.9,4.7,1.3,9.9,6.7,3,2.6,6.8
16,49,4.7,3.4,2,9.7,4.7,2.7,1.7,4.8
17,38,4.4,3.2,4.1,5.7,5.1,3.6,2.9,6.2
18,40,5.6,4.9,1.8,7.7,4.3,3.4,1.5,5.9
19,54,5.9,5.3,1.4,9.7,6.1,3.3,3.9,6.8
20,55,6,4.7,1.3,9.9,6.7,3,2.6,6.8
21,41,4.5,3.3,0.9,8.6,4,2.1,1.8,6.3
22,35,3.3,3.4,0.4,8.3,2.5,1.2,1.7,5.2
23,55,5.2,3,4,9.1,7.1,3.5,3.4,8.4
24,36,3.7,2.4,1.5,6.7,4.8,1.9,2.5,7.2
25,49,4.9,5.1,1.4,8.7,4.8,3.3,2.6,3.8
26,49,5.9,4.6,2.1,7.9,5.8,3.4,2.8,4.7
27,36,3.7,2.4,1.5,6.6,4.8,1.9,2.5,7.2
28,54,5.8,5.2,1.3,9.7,6.1,3.2,3.9,6.7
29,49,5.4,3.5,2.8,9.9,3.5,3.1,1.7,5.4
30,46,5.1,4.1,3.7,5.9,5.5,3.9,3,8.4
31,43,3.3,3,3.2,6,5.3,3.1,3,8
32,53,5,2.8,3.8,8.9,6.9,3.3,3.2,8.2
33,60,6.1,5.2,2,9.3,5.9,3.7,2.4,4.6
34,47,3.8,3.4,3.7,6.4,5.7,3.5,3.4,8.4
35,35,4.1,2.4,1,7.7,3.4,1.7,1.1,6.2
36,39,3.6,1.8,3.3,7.5,4.5,2.5,2.4,7.6
37,44,4.8,3.6,4,5.8,5.8,3.7,2.5,9.3
38,46,5.1,4,0.9,9.1,5.4,2.4,2.6,7.3
39,29,3.9,0,2.1,6.9,5.4,1.1,2.6,8.9
40,28,3.3,2.4,2,6.4,4.5,2.1,2.2,8.8
41,40,3.7,1.9,3.4,7.6,4.6,2.6,2.5,7.7
42,58,6.7,5.9,0.9,9.6,7.8,3.4,4.6,4.5
43,53,5.9,4.9,2.3,9.3,4.5,3.6,1.3,6.2
44,48,4.8,5,1.3,8.6,4.7,3.1,2.5,3.7
45,38,3.2,2,2.6,6.5,3.7,2.4,1.7,8.5
46,54,6,5,2.5,9.4,4.6,3.7,1.4,6.3
47,55,4.9,3.1,1.9,10,4.5,2.6,3.2,3.8
48,43,4.7,3.4,3.9,5.6,5.6,3.6,2.3,9.1
49,57,4.9,5.8,0.2,8.8,4.5,3,2.4,6.7
50,53,3.8,5.4,2.1,8,3,3.8,1.4,5.2
51,41,5,3.7,0.7,8.2,6,2.1,2.5,5.2
52,53,5.2,2.6,4.8,8.2,5,3.6,2.5,9
53,50,5.5,4.5,4.1,6.3,5.9,4.3,3.4,8.8
54,32,3.7,2.8,2.4,6.7,4.9,2.5,2.6,9.2
55,39,3.7,3.8,0.8,8.7,2.9,1.6,2.1,5.6
56,47,4.2,2.9,2.6,7.7,7,2.8,3.6,7.7
57,62,6.2,4.9,4.4,7.4,6.9,4.6,4,9.6
58,65,6,5.4,2.5,9.6,5.5,4,3,7.7
59,46,5.6,4.3,1.8,7.6,5.4,3.1,2.5,4.4
60,50,5,2.3,4.5,8,4.7,3.3,2.2,8.7
61,54,4.8,3.1,1.9,9.9,4.5,2.6,3.1,3.8
62,60,6.1,5.1,1.9,9.2,5.8,3.6,2.3,4.5
63,47,5.3,4.1,1.1,9.3,5.5,2.5,2.7,7.4
64,36,4.2,3,3.8,5.5,4.9,3.4,2.6,6
65,40,3.4,1.1,2,7.2,4.7,1.6,3.2,10
66,45,4.9,3.7,1.4,9,4.5,2.6,2.3,6.8
67,59,6,4.2,2.5,9.2,6.2,3.3,3.9,7.3
68,46,4.5,1.6,4.5,6.4,5.3,3,2.5,7.1
69,58,4.3,5.3,1.7,8.5,3.7,3.5,1.9,4.8
70,49,4.8,2.3,3.7,8.3,5.2,3,2.3,9.1
71,50,5.4,3.6,5.4,5.9,6.2,4.5,2.9,8.4
72,55,3.9,5.6,2.2,8.2,3.1,4,1.6,5.3
73,51,4.9,3.6,2.2,9.9,4.8,2.9,1.9,4.9
74,60,5.1,5.2,1.3,9.1,4.5,3.3,2.7,7.3
75,41,4.1,3,2,6.6,6.6,2.4,2.7,8.2
76,49,5.2,4.2,2.4,9.4,4.9,3.2,2.7,8.5
77,42,5.1,3.8,0.8,8.3,6.1,2.2,2.6,5.3
78,47,5.1,3.3,2.6,9.7,3.3,2.9,1.5,5.2
79,39,3.3,1,1.9,7.1,4.5,1.5,3.1,9.9
80,56,5.1,4.5,1.6,8.7,4.6,3.1,2.1,6.8
81,59,4.5,5.5,1.8,8.7,3.8,3.6,2.1,4.9
82,47,5.6,3.4,4.6,5.5,8.2,4,4.4,6.3
83,41,4.1,1.6,2.8,6.1,6.4,2.3,3.8,8.2
84,37,4.4,2.3,3.7,7.6,5,3,2.5,7.4
85,53,5.6,2.6,3,8.5,6,2.8,2.8,6.8
86,43,3.7,2.5,3.1,7,4.2,2.8,2.2,9
87,51,5.5,2.4,2.9,8.4,5.9,2.7,2.7,6.7
88,36,4.3,2.1,3.5,7.4,4.8,2.8,2.3,7.2
89,34,4,2.9,1.2,7.3,6.1,2,2.5,8
90,60,6.1,4.3,2.5,9.3,6.3,3.4,4,7.4
91,49,4.4,3,2.8,7.8,7.1,3,3.8,7.9
92,39,5.5,4.8,1.7,7.6,4.2,3.3,1.4,5.8
93,43,5.2,3.1,4.2,5.1,7.8,3.6,4,5.9
94,36,3.6,1.9,2.7,5,4.9,2.2,2.5,8.2
95,31,4,4,0.5,6.7,4.5,2.2,2.1,5
96,25,3.4,0.6,1.6,6.4,5,0.7,2.1,8.4
97,60,5.2,6.1,0.5,9.2,4.8,3.3,2.8,7.1
98,38,3.7,2,2.8,5.2,5,2.4,2.7,8.4
99,42,4.3,3.1,2.2,6.7,6.8,2.6,2.9,8.4
100,33,4.4,2.5,1.8,9,5,2.2,3,6
